{[1105, 885, 206, 124], 0.955378, 52}
{[1105, 885, 206, 124], 0.923589, 52}
{[1106, 885, 205, 123], 0.90914, 52}
{[1105, 886, 205, 123], 0.90452, 52}
{[1105, 885, 206, 123], 0.898279, 52}
{[1104, 885, 208, 123], 0.890634, 52}
{[1832, 1178, 230, 111], 0.890058, 52}
{[1104, 885, 207, 124], 0.886703, 52}
{[1832, 1178, 229, 111], 0.883206, 52}
{[1832, 1176, 229, 112], 0.880673, 52}
{[1104, 885, 208, 123], 0.876469, 52}
{[1105, 887, 206, 123], 0.870331, 52}
{[1104, 885, 207, 124], 0.868072, 52}
{[1835, 1176, 228, 117], 0.769674, 52}
{[1831, 1172, 230, 117], 0.768771, 52}
{[1836, 1176, 226, 117], 0.763919, 52}
{[1832, 1174, 229, 116], 0.691487, 52}
{[1832, 1175, 229, 116], 0.652703, 52}
{[1853, 1198, 53, 76], 0.492009, 5}
{[1853, 1198, 53, 76], 0.450497, 5}
{[1854, 1199, 53, 77], 0.442268, 5}
{[1854, 1199, 53, 76], 0.428675, 5}
